Prj;File;Class;Method;ConditionBlock;Line;ANNOTATOR-1;ANNOTATOR-2;FINAL;CONFLICT
/home/videogames/dataset/nsmb-mariovsluigi;/home/videogames/dataset/nsmb-mariovsluigi/Assets/Scripts/GameManager.cs;GameManager;GameManager.Update();IfBlocks;651;YES;YES;TP;
/home/videogames/dataset/shellcore;/home/videogames/dataset/shellcore/Assets/Plugins/Node_Editor/Framework/NodeEditor.cs;NodeEditorFramework.NodeEditor;NodeEditorFramework.NodeEditor.Update();IfBlocks;25;NO;NO;FP;
/home/videogames/dataset/simulator;/home/videogames/dataset/simulator/Assets/Scripts/Dynamics/Examples/VehicleLaneFollowSMI.cs;VehicleLaneFollowSMI;VehicleLaneFollowSMI.FixedUpdate();IfBlocks;753;YES;YES;TP;
/home/videogames/dataset/shellcore;/home/videogames/dataset/shellcore/Assets/Sector Creator Assets/SectorCreatorMouse.cs;SectorCreatorMouse;SectorCreatorMouse.FixedUpdate();IfBlocks;603;YES;YES;TP;
/home/videogames/dataset/unity3d-lolo;/home/videogames/dataset/unity3d-lolo/Assets/Framework/ShibaInu/Utils/Timer.cs;ShibaInu.Timer;ShibaInu.Timer.Update();IfBlocks;121;YES;YES;TP;
/home/videogames/dataset/antura;/home/videogames/dataset/antura/Assets/_games/MixedLetters/_scripts/SeparateLetterController.cs;Antura.Minigames.MixedLetters.SeparateLetterController;Antura.Minigames.MixedLetters.SeparateLetterController.Update();IfBlocks;153;NO;YES;TP;1
/home/videogames/dataset/project-404;/home/videogames/dataset/project-404/Assets/Scripts/_Objects/CubeBridge.cs;CubeBridge;CubeBridge.Update();IfBlocks;86;YES;YES;TP;
/home/videogames/dataset/antura_arabic;/home/videogames/dataset/antura_arabic/Assets/_games/MixedLetters/_scripts/States/IntroductionGameState.cs;Antura.Minigames.MixedLetters.IntroductionGameState;Antura.Minigames.MixedLetters.IntroductionGameState.Update(float);IfBlocks;102;NO;YES;TP;1
/home/videogames/dataset/antura;/home/videogames/dataset/antura/Assets/_games/FastCrowd/_scripts/Crowd/StrollingLetterWalkingState.cs;Antura.Minigames.FastCrowd.StrollingLetterWalkingState;Antura.Minigames.FastCrowd.StrollingLetterWalkingState.Update(float);IfBlocks;73;YES;YES;TP;
/home/videogames/dataset/egameplay;/home/videogames/dataset/egameplay/Assets/ExplosiveLLC/RPG Character Animation Pack FREE/Code/RPGCharacterControllerFREE.cs;RPGCharacterAnimsFREE.RPGCharacterControllerFREE;RPGCharacterAnimsFREE.RPGCharacterControllerFREE.Update();IfBlocks;246;YES;NO;TP;1
/home/videogames/dataset/shellcore;/home/videogames/dataset/shellcore/Assets/Scripts/Game Object Definitions/ShellPart.cs;ShellPart;ShellPart.Update();IfBlocks;329;YES;YES;TP;
/home/videogames/dataset/darkest-dungeon-unity;/home/videogames/dataset/darkest-dungeon-unity/Assets/Scripts/Raid/Party/FormationUnit.cs;FormationUnit;FormationUnit.Update();IfBlocks;109;YES;YES;TP;
/home/videogames/dataset/nsmb-mariovsluigi;/home/videogames/dataset/nsmb-mariovsluigi/Assets/Scripts/UI/ScoreboardEntry.cs;ScoreboardEntry;ScoreboardEntry.Update();IfBlocks;46;NO;NO;FP;
/home/videogames/dataset/towerdefense-gameframework-demo;/home/videogames/dataset/towerdefense-gameframework-demo/Assets/GameFramework/Scripts/Runtime/Download/WWWDownloadAgentHelper.cs;UnityGameFramework.Runtime.WWWDownloadAgentHelper;UnityGameFramework.Runtime.WWWDownloadAgentHelper.Update();IfBlocks;225;YES;NO;TP;1
/home/videogames/dataset/ballance;/home/videogames/dataset/ballance/Assets/Game/Scripts/Native/Small/ScrollCaption.cs;Ballance2.Game.Small.ScrollCaption;Ballance2.Game.Small.ScrollCaption.Update();IfBlocks;65;NO;NO;FP;
/home/videogames/dataset/jcsunity;/home/videogames/dataset/jcsunity/Assets/JCSUnity/Scripts/UI/Text/JCS_TextAnimation.cs;JCSUnity.JCS_TextAnimation;JCSUnity.JCS_TextAnimation.Update();IfBlocks;106;YES;NO;TP;1
/home/videogames/dataset/reeseunitydemos;/home/videogames/dataset/reeseunitydemos/Packages/com.reese.nav/Agent/MonoBehaviours/NavAgentHybrid.cs;Reese.Nav.NavAgentHybrid;Reese.Nav.NavAgentHybrid.FixedUpdate();IfBlocks;115;YES;YES;TP;
/home/videogames/dataset/antura_arabic;/home/videogames/dataset/antura_arabic/Assets/_games/SickLetters/_scripts/States/PlayGameState.cs;Antura.Minigames.SickLetters.PlayGameState;Antura.Minigames.SickLetters.PlayGameState.Update(float);IfBlocks;48;YES;YES;TP;
/home/videogames/dataset/sanandreasunity;/home/videogames/dataset/sanandreasunity/Assets/Scripts/Behaviours/World/Cell.cs;SanAndreasUnity.Behaviours.World.Cell;SanAndreasUnity.Behaviours.World.Cell.Update();IfBlocks;463;YES;YES;TP;
/home/videogames/dataset/antura_arabic;/home/videogames/dataset/antura_arabic/Assets/_games/FastCrowd/_scripts/Crowd/StrollingLetterScaredState.cs;Antura.Minigames.FastCrowd.StrollingLetterScaredState;Antura.Minigames.FastCrowd.StrollingLetterScaredState.Update(float);IfBlocks;46;YES;YES;TP;
