Prj;File;Kind;Type;FullName;Line;ANNOTATOR-1;ANNOTATOR-2;FINAL;CONFLICT
/home/videogames/dataset/fungus;/home/videogames/dataset/fungus/Assets/Fungus/Scripts/EventHandlers/MonoBehaviour/Trigger.cs;Field;ColliderVariable;Fungus.Trigger.colliderVar;20;YES;YES;TP;
/home/videogames/dataset/inputsystem;/home/videogames/dataset/inputsystem/ExternalSampleProjects/TouchSamples/Assets/Demo/Scripts/Drawing/DrawingController.cs;Field;DrawingTool;InputSamples.Demo.Drawing.DrawingController.penTool;21;YES;YES;TP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/3rd/Animancer/Examples/06 State Machines/04 Brains/Creature.cs;Field;CreatureState;Animancer.Examples.StateMachines.Brains.Creature._Idle;29;YES;YES;TP;
/home/videogames/dataset/battleofmages;/home/videogames/dataset/battleofmages/Assets/Scripts/Game.cs;Field;UI.Latency;BoM.GameData.latencyUI;17;YES;YES;TP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/3rd/AmplifyShaderEditor/Plugins/Editor/Nodes/Master/StandardSurface.cs;Field;StencilBufferOpHelper;AmplifyShaderEditor.StandardSurfaceOutputNode.m_stencilBufferHelper;236;YES;YES;TP;
/home/videogames/dataset/anyrpgcore;/home/videogames/dataset/anyrpgcore/Assets/AnyRPG/Core/System/Scripts/Quest/Quest.cs;Field;List<QuestStep>;AnyRPG.Quest.steps;129;YES;YES;TP;
/home/videogames/dataset/darkest-dungeon-unity;/home/videogames/dataset/darkest-dungeon-unity/Assets/Scripts/Networking/DarkestPhotonLauncher.cs;Field;RoomSelector;DarkestPhotonLauncher.launcherPanel;82;YES;YES;TP;
/home/videogames/dataset/cytoid;/home/videogames/dataset/cytoid/Assets/Packages/Tayx/Graphy - Ultimate Stats Monitor/Scripts/Advanced/G_AdvancedData.cs;Field;Text;Tayx.Graphy.Advanced.G_AdvancedData.m_systemMemoryText;43;YES;YES;TP;
/home/videogames/dataset/toolnity;/home/videogames/dataset/toolnity/Packages/Toolnity - Collections/Samples~/Scripts/ScriptToCollectTest.cs;Field;ScriptToCollectContainer;Toolnity.Test.ScriptToCollectTest.container;7;YES;YES;TP;
/home/videogames/dataset/ballance;/home/videogames/dataset/ballance/Assets/Plugins/SimpleFileBrowser/Scripts/FileBrowser.cs;Field;RecycledListView;SimpleFileBrowser.FileBrowser.listView;459;NO;NO;FP;
/home/videogames/dataset/jcsunity;/home/videogames/dataset/jcsunity/Assets/JCSUnity/Scripts/UI/Text/JCS_DamageTextPool.cs;Field;JCS_DamageText;JCSUnity.JCS_DamageTextPool.mDamageText;39;YES;YES;TP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/3rd/AmplifyShaderEditor/Plugins/Editor/Nodes/Master/StencilBufferOpHelper.cs;Field;InlineProperty;AmplifyShaderEditor.StencilBufferOpHelper.m_failStencilOpIdx;115;NO;NO;FP;
/home/videogames/dataset/anyrpgcore;/home/videogames/dataset/anyrpgcore/Assets/AnyRPG/Core/System/Scripts/GameManager/ResourceProfiles/ObjectMessageTemplate.cs;Field;EventParamType;AnyRPG.PropertyResponseNode.parameter;181;YES;NO;TP;1
/home/videogames/dataset/anyrpgcore;/home/videogames/dataset/anyrpgcore/Assets/AnyRPG/Core/System/Scripts/Abilities/Effect/LengthEffectProperties.cs;Field;List<AbilityAttachmentNode>;AnyRPG.LengthEffectProperties.abilityObjectList;29;YES;YES;TP;
/home/videogames/dataset/fungus;/home/videogames/dataset/fungus/Assets/Fungus/Scripts/Commands/MoveToView.cs;Field;View;Fungus.MoveToView.targetView;21;YES;YES;TP;
/home/videogames/dataset/inputsystem;/home/videogames/dataset/inputsystem/Assets/Samples/Visualizers/InputActionVisualizer.cs;Field;InputActionReference;UnityEngine.InputSystem.Samples.InputActionVisualizer.m_ActionReference;296;NO;YES;TP;1
/home/videogames/dataset/ss3d;/home/videogames/dataset/ss3d/Assets/Scripts/SS3D/Networking/ServerConnectionView.cs;Field;UiFade;SS3D.Networking.ServerConnectionView._buttonsUiFade;23;YES;YES;TP;
/home/videogames/dataset/anyrpgcore;/home/videogames/dataset/anyrpgcore/Assets/AnyRPG/Core/System/Scripts/GameManager/SystemGameManager.cs;Field;KeyBindManager;AnyRPG.SystemGameManager.keyBindManager;92;YES;YES;TP;
/home/videogames/dataset/jcsunity;/home/videogames/dataset/jcsunity/Assets/JCSUnity/Scripts/Input/JCS_ButtonSelectionGroup.cs;Field;JCS_ButtonSelection;JCSUnity.JCS_ButtonSelectionGroup.mStartingSelection;54;YES;YES;TP;
/home/videogames/dataset/bdframework.core;/home/videogames/dataset/bdframework.core/Packages/com.popo.bdframework/3rdPlugins/AssetGraph-1.8-release-BD/Editor/System/Node/Buitin/GroupingBySize.cs;Field;SerializableGroups;UnityEngine.AssetGraph.GroupingBySize.m_savedGroups;24;YES;YES;TP;
/home/videogames/dataset/hack-and-slash-framework;/home/videogames/dataset/hack-and-slash-framework/Assets/HnSF/Editor/StateTimelineEditor.cs;Field;StateTimelineEditorWindow;HnSF.StateTimelineEditor.currentTimeline;9;YES;YES;TP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/3rd/AmplifyShaderEditor/Plugins/Editor/Templates/TemplateModuleHelper.cs;Field;TemplateColorMaskModule;AmplifyShaderEditor.TemplateModulesHelper.m_colorMaskHelper;25;NO;NO;FP;
/home/videogames/dataset/darkest-dungeon-unity;/home/videogames/dataset/darkest-dungeon-unity/Assets/Scripts/Managers/EstateSceneManager.cs;Field;EstateTopPanel;EstateSceneManager.topPanel;43;NO;YES;TP;1
/home/videogames/dataset/jcsunity;/home/videogames/dataset/jcsunity/Assets/JCSUnity/Scripts/UI/GameWindow/JCS_DialogueObject.cs;Field;JCS_SoundPlayer;JCSUnity.JCS_DialogueObject.mSoundPlayer;43;YES;YES;TP;
